Servername,Current time,Serveruptime,CPU usage%,Memory MB,RootDisk %,Usr_fs_UsageMB,Usr_fs_perct,opt_fs_UsageMB,Opt_fs_perct,Var_fs_UsageMB,Var_fs_perct,Boot_fs_UsageMB,Boot_fs_perct,Tmp_fs_UsageMB,Tmp_fs_perct,Varlog_fs_UsageMB,Varlog_fs_perct,,,,,
bsaplapp08.us.dell.com,19-04-2023 01:16,5.10%,6264,,,49,,10,,10,,21,,1,,3,,,,,,
bsaplapp08.us.dell.com,19-04-2023 01:39, 01:39:22 up 251 days, 14:49,  5 users,  load average: 0.17,0.28,0.36,18.10%,5953,2%,,49,,10,,10,,21,,1,,3
bsaplflapp00108.us.dell.com,19-04-2023 01:16,1.30%,5560,,,56,,9,,10,,21,,1,,5,,,,,,
bsaplflapp00108.us.dell.com,19-04-2023 01:39, 01:39:22 up 251 days, 14:49,  1 user,  load average: 0.13,0.15,0.2,18.30%,5954,2%,,56,,9,,10,,21,,1,,5
bsaplapp07.us.dell.com,19-04-2023 01:16,22.80%,6020,,,52,,9,,10,,21,,1,,5,,,,,,
bsaplapp07.us.dell.com,19-04-2023 01:39, 01:39:21 up 251 days, 14:49,  2 users,  load average: 0.38,0.43,0.37,24.70%,5949,2%,,52,,9,,10,,21,,1,,5
ausflbbsaapp08.us.dell.com,19-04-2023 01:16,1.20%,6140,,,10,,27,,16,,62,,1,,31,,,,,,
ausflbbsaapp08.us.dell.com,19-04-2023 01:39, 01:39:21 up 251 days, 14:46,  1 user,  load average: 0.24,0.16,0.17,8.80%,6026,38%,,10,,27,,16,,62,,1,,31
ausflbbsaapp07.us.dell.com,19-04-2023 01:16,13.80%,6019,,,9,,28,,19,,62,,1,,28,,,,,,
ausflbbsaapp07.us.dell.com,19-04-2023 01:39, 01:39:21 up 251 days, 13:06,  4 users,  load average: 0.23,0.24,0.24,8.80%,6025,38%,,9,,28,,19,,62,,1,,28
bsaplflapp00107.us.dell.com,19-04-2023 01:16,3.80%,5929,,,57,,9,,10,,21,,1,,3,,,,,,
bsaplflapp00107.us.dell.com,19-04-2023 01:39, 01:39:22 up 251 days, 14:49,  1 user,  load average: 0.51,0.24,0.23,8.80%,5954,2%,,57,,9,,10,,21,,1,,3
